"passer_player_id","passer_player_name","posteam","attempts","completions","yards","touchdowns","interceptions","epa_per_play","success_rate","cpoe","air_yards_per_att","yac_per_comp","third_down_success","deep_att","deep_comp","deep_yards","deep_td","explosive_passes","completion_pct","yards_per_attempt","deep_comp_pct","td_int_ratio","explosive_rate","team_name","team_id","team_nick","team_conf","team_division","team_color","team_color2","team_color3","team_color4","team_logo_wikipedia","team_logo_espn","team_wordmark","team_conference_logo","team_league_logo","team_logo_squared"
"00-0035710","D.Jones","IND",411,261,3101,19,8,0.139898946681701,0.498783454987835,2.29714193229062,8.00260416666667,5.14942528735632,0.431818181818182,37,16,562,3,36,63.5036496350365,7.54501216545012,43.2432432432432,2.375,8.75912408759124,"Indianapolis Colts","2200","Colts","AFC","AFC South","#002C5F","#a5acaf","#013369","#9ba1a2","https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Indianapolis_Colts_logo.svg/100px-Indianapolis_Colts_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/ind.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/IND.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/IND.png"
"00-0036212","T.Tagovailoa","MIA",417,260,2660,21,15,0.0198245704244189,0.45083932853717,2.02027069843881,6.8046875,5.42307692307692,0.342342342342342,33,10,334,2,33,62.3501199040767,6.37889688249401,30.3030303030303,1.4,7.9136690647482,"Miami Dolphins","2700","Dolphins","AFC","AFC East","#008E97","#F58220","#005778","#008e97","https://upload.wikimedia.org/wikipedia/en/thumb/3/37/Miami_Dolphins_logo.svg/100px-Miami_Dolphins_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/mia.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/MIA.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/MIA.png"
"00-0036264","J.Love","GB",462,291,3381,23,6,0.239418371932691,0.495670995670996,5.53295734880034,8.81776765375854,5.19243986254296,0.484126984126984,62,26,823,4,49,62.987012987013,7.31818181818182,41.9354838709677,3.83333333333333,10.6060606060606,"Green Bay Packers","1800","Packers","NFC","NFC North","#203731","#FFB612","#1c2d25","#eead1e","https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Green_Bay_Packers_logo.svg/100px-Green_Bay_Packers_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/gb.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/GB.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/GB.png"
"00-0036355","J.Herbert","LAC",566,340,3727,27,13,0.00796174879953054,0.452296819787986,1.57492858195594,7.833984375,4.87352941176471,0.416149068322981,64,24,756,6,43,60.0706713780919,6.58480565371025,37.5,2.07692307692308,7.59717314487632,"Los Angeles Chargers","4400","Chargers","AFC","AFC West","#007BC7","#ffc20e","#ffb612","#001532","https://upload.wikimedia.org/wikipedia/en/thumb/7/72/NFL_Chargers_logo.svg/100px-NFL_Chargers_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/lac.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/LAC.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/LAC.png"
"00-0036389","J.Hurts","PHI",488,294,3224,25,6,0.0519735692130256,0.430327868852459,3.18333108754571,8.96916299559471,4.30272108843537,0.353383458646617,65,24,881,9,40,60.2459016393443,6.60655737704918,36.9230769230769,4.16666666666667,8.19672131147541,"Philadelphia Eagles","3700","Eagles","NFC","NFC East","#004C54","#A5ACAF","#acc0c6","#000000","https://upload.wikimedia.org/wikipedia/en/thumb/8/8e/Philadelphia_Eagles_logo.svg/100px-Philadelphia_Eagles_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/phi.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/PHI.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/PHI.png"
"00-0036442","J.Burrow","CIN",278,173,1809,21,5,0.0991456405853938,0.489208633093525,4.65429821201871,7.21235521235521,4.72832369942197,0.534246575342466,28,10,322,3,22,62.2302158273381,6.50719424460432,35.7142857142857,4.2,7.9136690647482,"Cincinnati Bengals","0920","Bengals","AFC","AFC North","#FB4F14","#000000","#000000","#d32f1e","https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Cincinnati_Bengals_logo.svg/100px-Cincinnati_Bengals_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/cin.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/CIN.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/CIN.png"
"00-0036898","D.Mills","HOU",169,91,915,5,1,-0.0989365194371199,0.396449704142012,-6.61342173422638,8.55345911949686,2.95604395604396,0.291666666666667,17,6,176,0,9,53.8461538461538,5.41420118343195,35.2941176470588,5,5.32544378698225,"Houston Texans","2120","Texans","AFC","AFC South","#03202F","#A71930","#00071c","#a30d2d","https://upload.wikimedia.org/wikipedia/en/thumb/2/28/Houston_Texans_logo.svg/100px-Houston_Texans_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/hou.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/HOU.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/HOU.png"
"00-0036945","J.Fields","NYJ",235,128,1259,7,1,-0.0955388213830112,0.408510638297872,-1.86883856340782,6.75980392156863,4.4921875,0.285714285714286,16,5,131,2,15,54.468085106383,5.35744680851064,31.25,7,6.38297872340426,"New York Jets","3430","Jets","AFC","AFC East","#003F2D","#000000",NA,NA,"https://upload.wikimedia.org/wikipedia/en/thumb/6/6b/New_York_Jets_logo.svg/100px-New_York_Jets_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/nyj.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/NYJ.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/NYJ.png"
"00-0036971","T.Lawrence","JAX",603,341,4007,31,12,0.0546979262148194,0.462686567164179,-1.88176378552966,8.70714285714286,4.78299120234604,0.397260273972603,75,29,850,4,57,56.5505804311774,6.64510779436153,38.6666666666667,2.58333333333333,9.45273631840796,"Jacksonville Jaguars","2250","Jaguars","AFC","AFC South","#006778","#000000","#9f792c","#d7a22a","https://upload.wikimedia.org/wikipedia/en/thumb/7/74/Jacksonville_Jaguars_logo.svg/100px-Jacksonville_Jaguars_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/jax.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/JAX.png","https://github.com/nflverse/nflverse-pbp/raw/master/AFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/JAX.png"
"00-0036972","M.Jones","SF",307,201,2151,13,6,0.124560365697323,0.517915309446254,3.67856692495964,7.34948096885813,4.76119402985075,0.391891891891892,22,4,122,0,18,65.4723127035831,7.00651465798046,18.1818181818182,2.16666666666667,5.86319218241042,"San Francisco 49ers","4500","49ers","NFC","NFC West","#AA0000","#B3995D","#000000","#a5acaf","https://upload.wikimedia.org/wikipedia/commons/thumb/3/3a/San_Francisco_49ers_logo.svg/100px-San_Francisco_49ers_logo.svg.png","https://a.espncdn.com/i/teamlogos/nfl/500/sf.png","https://github.com/nflverse/nflverse-pbp/raw/master/wordmarks/SF.png","https://github.com/nflverse/nflverse-pbp/raw/master/NFC.png","https://raw.githubusercontent.com/nflverse/nflverse-pbp/master/NFL.png","https://github.com/nflverse/nflverse-pbp/raw/master/squared_logos/SF.png"
