"receiver_player_id","receiver_player_name","posteam","targets","receptions","rec_yards","rec_tds","epa_per_target","yards_per_reception","first_downs","catch_rate","yards_per_target","team_color"
"00-0037740","G.Wilson","NYJ",60,36,389,5,-0.0344188008025603,6.48333333333333,19,0.6,6.48333333333333,"#003F2D"
"00-0036223","J.Taylor","IND",56,46,378,2,0.164893679847022,6.75,15,0.821428571428571,6.75,"#002C5F"
"00-0040134","P.Bryant","DEN",49,31,378,1,0.290433748610297,7.71428571428571,22,0.63265306122449,7.71428571428571,"#002244"
"00-0037837","C.Austin","PIT",55,31,372,3,-0.0752869031977781,6.76363636363636,15,0.563636363636364,6.76363636363636,"#000000"
"00-0032385","S.Shepard","TB",54,39,371,1,-0.0523456574194138,6.87037037037037,18,0.722222222222222,6.87037037037037,"#A71930"
"00-0040736","M.Taylor","NYJ",66,44,371,1,0.146909859566995,5.59090909090909,23,0.666666666666667,5.62121212121212,"#003F2D"
"00-0031408","M.Evans","TB",62,30,368,3,0.0849407252076584,5.93548387096774,23,0.483870967741935,5.93548387096774,"#A71930"
"00-0038558","D.Washington","PIT",44,31,366,1,0.332784269992278,8.27272727272727,17,0.704545454545455,8.31818181818182,"#000000"
"00-0039342","X.Legette","CAR",64,35,363,3,-0.0637940819174193,5.671875,18,0.546875,5.671875,"#0085CA"
"00-0033921","C.Godwin","TB",52,33,362,2,0.282694176544688,6.92307692307692,23,0.634615384615385,6.96153846153846,"#A71930"
"00-0040667","M.Golden","GB",44,29,361,0,0.381791944377613,8.20454545454546,17,0.659090909090909,8.20454545454546,"#203731"
"00-0040584","G.Helm","TEN",55,44,357,2,0.069717796831776,6.49090909090909,17,0.8,6.49090909090909,"#002244"
"00-0040730","R.Harvey","DEN",58,47,356,5,0.32888779772057,6.13793103448276,20,0.810344827586207,6.13793103448276,"#002244"
"00-0034960","J.Meyers","LV",49,33,352,0,-0.0675090253537798,7.18367346938776,16,0.673469387755102,7.18367346938776,"#000000"
"00-0036415","V.Jefferson","TEN",52,29,350,1,0.171893202715727,6.73076923076923,17,0.557692307692308,6.73076923076923,"#002244"
"00-0038120","B.Hall","NYJ",48,36,350,1,0.180616499234029,7.29166666666667,13,0.75,7.29166666666667,"#003F2D"
"00-0036290","C.Kmet","CHI",49,30,349,2,0.273296705602459,7.08163265306122,17,0.612244897959184,7.12244897959184,"#0B162A"
